Name,EVS ID,Histology,Do not code,Remarks,Alternate Name,Primary Site,Abbreviation,NSC number,Category,Sub-category
SR 271425,,,NO,Phase I Thioxanthone. Sanofi-Synthelabo.,9H-Thioxanthen-9-one;BCN326862;SR-271425;SR271425;Thiaxanthenone;Thioxanthe-9-one;Thioxanthone;WIN71425,Other cancer,,,Chemotherapy,Cytolytic agent
SR27897,,,NO,Phase II Cholecystokinin A receptor agonist. Sanofi-Synthelabo.,SR 27897;SR-27897,Pancreatic cancer,,,Chemotherapy,Protein kinase agonist
SR48692,,,NO,Phase II Neurotensin (NT) receptor antagonist. Sanofi-Synthelabo.,SR 48692;SR-48692,Pancreatic;prostate cancer,,,Chemotherapy,Cytotoxic neurotensin antagonist
SSI(dsFv)-PE38,,,NO,In Clinical Trials Anti-mesothelin monoclonal antibody toxin. NeoPharm.,,Cervical;head & neck;lung;ovarian cancer,,726388,Chemotherapy,Immunotoxin conjugated with monoclonal antibody
STA-4783,,,NO,Phase III melanoma 2007 Activates oxidative stress in cells triggering apoptosis and activating NK-cell mediated killing of cancer cells.  Synta Pharmaceuticals.,STA 4783;STA4783,Melanoma,,,Chemotherapy,Cytostatic agent--apoptosis inducer
STA-9090,,,NO,"Phase I, II, and III trials",Ganetespib;STA-9090,GIST;Leukemia;MDS;solid tumors,,,Chemotherapy,HSP 90 inhibitor
STEMGEN,,,YES,Phase I AA Stem cell stimulator. Amgen.,Ancestim;Kit Ligand;SCF;Stem Cell Factor,Leukemia,,653545,Ancillary Agent,Stem cell factor therapy
SU-101,,,YES,"Phase III (brain) Phase II (NSCLC ovarian, prostate) Signal transcription inhibitor of platelet derived growth factor. SuperGen.",Arava;HWA-486;Leflunomide;RS-34821,Brain;Lung;Ovarian;Prostate cancer,,677411,Ancillary Agent,No activity in cancer (arthritis medication)
SU5415,,,NO,Phase II/III Anti-angiogenic. Sugen,SU 5415;SU-5415,Colorectal cancer,,,Chemotherapy,Angiogenesis inhibitor
SU6668,,,NO,"Phase I Anti-angiogenic. Sugen, Pharmacia.",,Colorectal;other cancer,,702827,Chemotherapy,Angiogenesis inhibitor
Samarium SM 153,,,NO,,Quadramet,Bone mets,,,Radiation,Radioisotope
Saquinavir Mesylate,,,YES,An inhibitor of human immunodeficiency virus (HIV) protease.,Fortovase;Invirase;Ro-31-8959/003;Saquinavir,,,722663,AIDS drug,
SarCNU,,,NO,Phase II NCI.,,Colon cancer,,364432,Chemotherapy,Alkylating agent
Saracatinib,,,NO,"As of Jan 2015, this drug is currently in clinical trials for several different cancer sites including breast, gastric, leukemia, and pancreatic. ",AZD 0530;AZD-0530,Breast;CML;Pancreas;Stomach,,,Chemotherapy,Cytostatic agent--dual Src/Abl kinase inhibitor
Sarclisa,,Multiple myeloma,NO,"March 31, 2021: FDA approved isatuximab-irfc (Sarclisa) in combination with carfilzomib and dexamethasone, for the treatment of adult patients with relapsed or refractory multiple myeloma who have received one to three prior lines of therapy.  

March 2, 2020 The FDA approved isatuximab-irfc (SARCLISA) in combination with pomalidomide and dexamethasone for adult patients with multiple myeloma who have received at least two prior therapies including lenalidomide and a proteasome inhibitor.",isatuximab-irfc;isatuximab,,,,"Biologic therapy (BRM, immunotherapy)",Monoclonal antibody
Satraplatin,,,NO,"Phase II SCLC Phase III prostate Third generation platinum compound. NeoOncoRx, NeoTherapeutics.",BMS-182751;BMY-45594;JM 216;JM-216;JM216;Orplatna,Lung;ovarian;prostate cancer,,,Chemotherapy,Miscellaneous agent;Platinum compound
Scemblix,,Chronic myeloid leukemia,NO,"October 29, 2021 The FDA granted accelerated approval to asciminib (Scemblix) for patients with Philadelphia chromosome-positive chronic myeloid leukemia (Ph+ CML) in chronic phase (CP), previously treated with two or more tyrosine kinase inhibitors (TKIs), and approved asciminib for adult patients with Ph+ CML in CP with the T315I mutation.",Asciminib,,,,Chemotherapy,tyrosine kinase inhibitor
Selenium,,,YES,NCI clinical trial as prostate preventative,Selenium methionine,,,724226,Ancillary Agent,Preventative
Selumetinib,,Plexiform neurofibromatosis,SEE_REMARKS,"April 10, 2020, the FDA selumetinib (KOSELUGO) for pediatric patients, 2 years of age and older, with neurofibromatosis type 1 (NF1) who have symptomatic, inoperable plexiform neurofibromas (PN).

DO NOT code if given to treat neurofibromatosis type 1 (NF1) only. Code if given to treat plexiform neurofibroma.",Koselugo,,,,Chemotherapy,kinase inhibitor
Semaxanib,,,NO,Phase III (colorectal) Phase III NSCLC Flk-1/KDR angiogenesis inhibitor. Sugen. Development discontinued,SU 5416;SU-5416;SU5416,Breast;colorectal;lung cancer;other cancer;sarcoma,,696819,Chemotherapy,Angiogenesis inhibitor
Semustine,,,NO,Not found in Drugdex drug evaluation.,Methyl CCNU;Methyl-CCNU;trans-Methyl CCNU;WR-220076,,MCCNU;MCNU;MeCCNU,95441;095441,Chemotherapy,Alkylating agent
Serotonin,,,YES,Ondansetron Hydrochloride antagonist.,,,,,Ancillary Agent,
Silandrone,,,NO,Androgen,SC-16148,,,95147,Hormones and hormonal mechanisms,No longer in use
Simtrazene,,,NO,,Centrazene;CL 26193,,MPT,083799;86491,Chemotherapy,No longer in use
Simvastatin,,,NO,Zocor (Simvastatin) causes tumors and metastasis to regress in hepatomas and also colon cancers. It is also prescribed as treatment to lower cholestrol.,Zocor,Hepatoma,,,Chemotherapy,Antiangiogenic agent;Cytostatic agent--Ras inhibitor
Siplizumab,,,YES,"Phase II NHL, Hodgkin's Used to prevent Graft/Host syndrome in Bone Marrow Transplant pts.  Monoclonal antibody. BioTransplant.",AlloMune;MEDI 507;MEDI-507;MEDI507,Lymphoma,,,Ancillary Agent,Anti-rejection drug in BMT
Sirolimus,,,YES,"Rapamycin is a drug used to keep the body from rejecting organ and bone marrow transplants. Rapamycin blocks certain white blood cells that can reject foreign tissues and organs. It also blocks a protein that is involved in cell division. It is a type of antibiotic, a type of immunosuppressant, and a type of serine/threonine kinase inhibitor. Rapamycin is now called sirolimus. 

PER the FDA this drug is used to treat GVHD (graft versus host disease) in transplant patients.

**Important note: even though the subcategory of this drug is mTOR inhibitor, this category does not automatically mean the drug is chemotherapy. This applies to certain hormonal drugs as well. ",Rapamune;Rapamycin,,,226080,Ancillary Agent,mTOR inhibitor;antibiotic
Skeletal Targeted Radiotherapy,,,NO,Phase I/II/III NeoRx.,,Multiple myeloma;sarcoma,STR,,Radiation,Radioisotope
Soblidotin,,,NO,"Phase II Advanced or mets soft tissue sarcoma, advanced or metastatic non-small cell lung cancer",Soblidotin;TZT 1027,Lung;soft tissue,,,Chemotherapy,Tubuline inhibitor
Sodium Butyrate,,,YES,,,,,,Differentiation inducing agent,
Sodium Chloride,,,YES,Chemoprotective agent; reduces nephrotoxicity,4-Way Saline Moisturizing Mist;Abboject Sodium Chloride;Adsorbonac;Afrin Saline Mist;Ak-NaCl;Ak-Salt;Ayr Baby;Ayr Nasal Drops;Ayr Nasal Mist;Bacteriostatic Sodium Chloride;Breathe Free;Cordema;Entsol;Eye & Skin Buffered Flushing Solution;Hep-Pak 2: Sodium Chloride Solution;Humist;In A Wink;Iocare;Marine Mist;Muro-128;Mycinaire;Nasal Saline;Neo-synephrene Nasal Saline Moisturizer;Normal Saline Flush;Opti-One;Physiological saline;Py-Co-Pay Disclosing;Saline;Saline Nasal Mist;Salinex;Salt;Sea Mist;Slo-Salt;Wound Wash Saline,,,,Ancillary Agent,Chemoprotective
Sodium Fluoride,,,YES,Prevention or decrease of dental caries. In the treatment of osteoporosis.,Floridine;Fluor-d-day;Fluorabon;Fluoritab;Fluorodex;Fluotic;Flura;Flura-Drops;Flura-loz;Flurol;Luride;Luride-SF;Nafrinse;PDF;Pedi-Dent;Pediaflor;Pergantene;Phos-Flur;Point-Two;Prevident;SFT Reduced Urine Preservative;Solu-Flur;Thera-Flur-N;Xaridium;Zymafluor,,,77385,Ancillary Agent,
Sodium Iodide,,,YES,Iodine radioisotope. FDA approved use for thyroid carcinoma.,I 131 Idotope;Sodium Iodide I 131,,,,Ancillary Agent,
Sodium Phenylacetate,,,YES,"Orphan drug, for use as an adjunct to surgery, radiation therapy and chemo. for the treatment of patients with primary or recurrent malignant glioma.",Component of Ammonul;Component of Ucephan;Sodium salt,,,3039,Differentiation inducing agent,
Sodium Phosphate P 32,,,NO,"Phosphorus-32, given as sodium phosphate ((32)P), is used intravenously in the treatment of polycythaemia vera. Sodium phosphate ((32)P) is also employed intravenously in the treatment of chronic myeloid and chronic lymphocytic leukemia and in the palliative treatment of bone metastases; radioactive agent, diagnostic aid.",,,,,Radiation,Radioisotope
Sodium Thiosulfate,,,YES,"An antidote for cyanide, bromate, cisplatin, and nitroprusside poisoning, has some usefulness in arsenic poisoning, and has been used as an antifungal; reduces nephrotoxicity",Adasept;Cyanide Antidote package;Komed;Sulfactol#;Tinver;Versiclear,,,45624,Ancillary Agent,
Sodium stibogluconate,,,NO,Phase I melanoma 2007 Enzyme blocker.  Information from NCI,,Melanoma,,,Chemotherapy,Cytostatic agent
Somatostatin,,,NO,"Growth hormone release inhibiting factor;  primarily produced by the and by the delta cells of the pancreatic islets; they inhibit release of growth hormone, thyrotropin, and corticotropin by the adenohypophysis, of insulin and glucagon by the pancreas, of gastrin by the gastric mucosa, of secretin by the intestinal mucosa, and of renin by the kidney",GH-RIF;GH-RIH;Growth hormone release-inhibiting factor;Growth hormone release-inhibiting hormone;Hypothalamic hormone;Reducin;Somatropin release-inhibiting factor;SRIF;Stilamin,,,,Hormones and hormonal mechanisms,Growth hormone releasing hormone inhibitor.  Probably not cancer directed--verify with attending MD.
Somatrem,,,NO,"A growth hormone derived from recombinant DNA technology; rHGH, growth hormone; used to stimulate growth in children who do not produce enough growth hormone of their own.",Human growth hormone;Met-HGH;Methionyl human growth hormone;Protropin;Recombinant growth hormone;Somatotropin,AIDS;Opportunistic infection,,648119,Hormones and hormonal mechanisms,Growth hormone.  Probably not cancer directed--verify with attending MD.
Sonazoid,,,YES,Phase II Ultrasound imaging agent. Nycomed Amersham.,Decafluorobutane lipid microspheres;NC100100;Perfluorobutane,Liver;Prostate cancer,,,Ancillary Agent,Ultrasound contrast agent
Sorafenib,,,NO,"FDA approval 2005 for renal cell carcinoma (RCC)
FDA approval 2007 for hepatocellular carcinoma
FDA approval 2013 for thyroid carcinoma
Maybe used to treat other neoplasms and primary sites. ",BAY 43-9006;BAY 439006;BAY439006;Nexavar,Kidney;Leukemia;colon;liver;lymphoma;other cancer;prostate;thyroid,,,Chemotherapy,Targeted therapy--raf kinase inhibitor
Sotorasib,,Non small cell lung cancer (NSCLC),NO,"5/28/2021 The FDA  granted accelerated approval to sotorasib (Lumakras), a RAS GTPase family inhibitor, for adult patients with KRAS G12C mutated locally advanced or metastatic non-small cell lung cancer (NSCLC), as determined by an FDA approved test, who have received at least one prior systemic therapy.",Lumakras,Lung,,,Chemotherapy,RAS Inhibitor
Sparfloxacin,,,YES,A fluoroquinolone antibiotic; antimycobacterial,AT-4140;CI-978;PD-131501;RP-64206;Zagam,AIDS;Opportunistic infection,,,Ancillary Agent;AIDS drug,
Sparfosate Sodium,,,NO,Antineoplastic agent. Miscellaneous agent.  Not found in Drugdex drug evaluation.,CI-882;PALA Disodium,,PALA,224131,Chemotherapy,Antimetabolite
Sparsomycin,,,NO,,U 19183;U-19183;U19183,,,59729,Chemotherapy,Antitumor antibiotic
Spiramycin,,,YES,A macrolide antibiotic; Rx of cryptosporidiosis,Acetylspiramycin;Espiramicina;IL-5902;Leucomycin;Ovamycin;RP-5337;Spiramycin HCl,AIDS;Opportunistic infection,,055926;064393;64393 (hydrochloride);55926,Ancillary Agent;AIDS drug,
Spirogermanium,,,NO,For clinical study this agent can be obtained through Unimed of The Investigation Drug Branch NCI. Not found in Drugdex drug evaluation.,Spiro-32;Spirogermanium Hydrochloride,,SPG,192965,Ancillary Agent,No longer in use
Spiromustine,,,NO,Alkylating agent,Spirohydantoin mustard#,,,172112,Chemotherapy,Alkylating agent
Spironolactone,,,YES,"This drug is a diuretic. It also blocks production of aldosterone which is produced in excess by various types of malignant and benign tumors. It is used in the treatment of edema due to congestive heart failure or hepatic or renal disease, in the treatment of hypokalemia, in the management of primary hyperaldosteronism, and, usually in combination with other drugs, in the treatment of hypertension.",Alatone;Aldactone;Component of Aldactazide;Novo-Spiroton;SC-9420;Sincomen;Spiresis;Spiridon;Spirolactone;Spirone;Uractone;Verospirone,,SPL,150399,Hormones and hormonal mechanisms,Aldosterone antagonist
Spiroplatin,,,NO,,TNO 6;TNO-6;TNO6,,,311056,Chemotherapy,Miscellaneous agent
Squalamine,,,NO,Phase II Anti-anigiogenic. Genaera.,MSI-1256F;sualamine lactate,Brain;lung;ovarian;prostate cancer,,716435,Chemotherapy,Angiogenesis inhibitor
Stanolone,,,NO,"A semisynthetic form of dihydrotestosterone, having the same actions and uses as testosterone. It is used for its anabolic and antineoplastic actions in inoperable breast cancer and in postoperative metastatic breast cancer. Not found in Drugdex drug evaluation.",Dihydrotestosterone;Neodrol,Breast cancer,,10972,Hormones and hormonal mechanisms,Anabolic steroid
Stanozolol,,,NO,"Androgenic nabolic steroid, is a synthetic 17-alpha alkylated derivative of testosterone; used orally, especially to increase hemoglobin levels in some patients with aplastic (congenital and idiopathic) anemia. ",Win-14833;Winstrol,,,043193;43193,Hormones and hormonal mechanisms,Anabolic steroid
Stavudine,,,YES,An antiretroviral (nucleoside reverse transcriptive inhibitor) agent used in the treatment of AIDS.,BMY-27857;d4T;Zerit,,,163661,AIDS drug,
Stilboestrol Dipropionate,,,NO,"Synthetic nonsteroidal estrogen having activity similar to but greater than that of estrone. It is used for many purposes, including relief of menopausal symptoms; suppression of lactation; treatment of amenorrhea, dysmenorrhea, senile vaginitis, and pruritus vulvae; palliative treatment of female breast carcinoma; relief of symptoms of prostatic carcinoma; and formerly for prevention of threatened or habitual abortion and premature labor. Administered intramuscularly.  Not found in Drugdex drug evaluation.",Diethylstilbestrol Dipropionate,Breast;prostate cancer,,,Hormones and hormonal mechanisms,Estrogen
Streptomycin,,,NO,An aminoglycoside antimicrobial.,D-Streptamine;Streptomycin Sulfate;Streptosol 25%,,,,AIDS drug,Antimicrobial
Streptonigrin,,,NO,,5278 R.P.;Bruneomycin;Methyl streptonigrin;Nigrin;Rufochromomycin;Rufocromo-mycin,,SN;STN;STP,45383,Chemotherapy,Antitumor antibiotic
Streptozocin,,,NO,A methyl nitrosourea alkylating antineoplastic agent. FDA approved use on panceatic islet cell carcinoma.,Streptozocin;Streptozoticin;Streptozotocin;U-9889;Zanosar,,STR;Strept;STZ;SZ;SZC,085998;85998,Chemotherapy,Alkylating agent
Strontium,,,NO,Phase II Radioisotope. Amersham Health.,Metastron;Sms-2-PA;Stronscan-85;Strontium Chloride Sr 89;Strontium-89,,,721349,Radiation,Radioisotope
Sucralfate,,,YES,An oral anti-ulcer agent.,Apo-Sucrafate;Carafate;Dom-Sucralfate;Novo-Sucralate;PMS-Sucralfate,,,,Ancillary Agent,
Sulfadiazine,,,YES,"A sulfonamide antiinfective used to treat urinary tract infections, toxoplasmosis in AIDS patients, rheumatic fever prophylaxis (non-labeled indication), malaria and other various infections. The drug has received Orphan drug status for use in the treatment of toxoplasma gondii encephalitis in combination with pyrimethamine. ",Neotrizine;Ovoquinol;Sodium Sulfadiazine;Soluble Sulphadiazine;sulfadiazinum natricum;Sulphadiazine;Sulphadiazine sodium;Triple Sulfa No. 2;Trisulfaminic;Trisulfapyrimidines,AIDS;Opportunistic infection,,,Ancillary Agent;AIDS drug,
Sulfamethoxazole,,,YES,An intermediate-acting sulfonamide used primarily in treating urinary tract infections; Rx for PCP.,Component of Bactrim;Component of Cotrim;Component of Septra;Component of Sulfatrim;Gantanol;Sulfamethoxazole Oral Suspension USP 26;Sulfamethoxazolum;Sulfamethoxzole Tablets USP 26;Sulfisomezole;Sulphamethoxazole;Urobak,AIDS;Opportunistic infection,,,Ancillary Agent;AIDS drug,
Sulindac,,,YES,A nonsteroidal antiinflammatory analgesic.,Apo-Sulin;Clinoril;MK-231;Novo-Sundac,,,,Ancillary Agent,
Sulofenur,,,NO,Has been investigated for its antineoplastic properties.,LY 186641;LY-186641;LY186641,,,,Chemotherapy,Antineoplastic unclassified
Sunitinib maleate,,,NO,"Nov. 16, 2017: FDA approved Sutent (sunitinib) for the adjuvant treatment of adult patients with high risk of recurrent renal cell carcinoma following nephrectomy.

May 20, 2011 FDA approved Sutent (sunitinib) to treat patients with progressive neuroendocrine cancerous tumors located in the pancreas that cannot be removed by surgery or have spread to other parts of the body (metastatic). 
FDA approved 2006 GIST, renal; Phase II urothelial, breast, stomach 2007
Pfizer.",SU 11248;SU-11248;SU011248;SU11248;Sutent,breast;GIST;pancreas;Renal cell;stomach;Urothelial ca,,736511,Chemotherapy,Angiogenesis inhibitor
Suramin Sodium,,,NO,"Phase I/II Anti-angiogenic. NCI, Pfizer.",Antrypol;Bayer-205;Forneau-309;Germanin;Metaret;Moranyl;Naganin;Naganinum;Naganol;Naphuride Sodium;Sodium Suramin,,,34936;034936,Chemotherapy,Growth factor inhibitor
